instant,date,season,year,month,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual,registered,count
51,2011-02-20,Spring,2011,Feb,Not Holiday,Sun,No,Clear,5.405199,0.27733,40.7826,14.956745,639,1173,1812
52,2011-02-21,Spring,2011,Feb,Holiday,Mon,No,Misty,6.2566510000000015,0.284075,60.5,20.625682,195,912,1107
53,2011-02-22,Spring,2011,Feb,Not Holiday,Tue,Yes,Clear,0.5644340000000003,0.186033,57.7778,13.110761,74,1376,1450
54,2011-02-23,Spring,2011,Feb,Not Holiday,Wed,Yes,Clear,2.4217329999999997,0.245717,42.3043,6.3055710000000005,139,1778,1917
55,2011-02-24,Spring,2011,Feb,Not Holiday,Thu,Yes,Misty,5.895644000000001,0.289191,69.7391,16.783231999999998,100,1707,1807
56,2011-02-25,Spring,2011,Feb,Not Holiday,Fri,Yes,Misty,9.124355999999999,0.350461,71.2174,23.218113,120,1341,1461
57,2011-02-26,Spring,2011,Feb,Not Holiday,Sat,No,Clear,5.277499999999998,0.282192,53.7917,12.500257,424,1545,1969
58,2011-02-27,Spring,2011,Feb,Not Holiday,Sun,No,Clear,8.143466,0.351109,68.0,8.391615999999999,694,1708,2402
59,2011-02-28,Spring,2011,Feb,Not Holiday,Mon,Yes,Misty,11.141831,0.400118,87.63640000000001,19.408962,81,1365,1446
60,2011-03-01,Spring,2011,Mar,Not Holiday,Tue,Yes,Clear,4.533348999999999,0.263879,53.5,14.500475,137,1714,1851
61,2011-03-02,Spring,2011,Mar,Not Holiday,Wed,Yes,Clear,7.745000000000001,0.320071,44.9583,20.624811,231,1903,2134
62,2011-03-03,Spring,2011,Mar,Not Holiday,Thu,Yes,Clear,1.321651000000001,0.200133,31.833299999999998,15.125518000000001,123,1562,1685
63,2011-03-04,Spring,2011,Mar,Not Holiday,Fri,Yes,Misty,4.298349,0.255679,61.0417,13.624182,214,1730,1944
64,2011-03-05,Spring,2011,Mar,Not Holiday,Sat,No,Misty,10.055848999999998,0.378779,78.91669999999999,16.875357,640,1437,2077
65,2011-03-06,Spring,2011,Mar,Not Holiday,Sun,No,Misty,9.696534,0.366252,94.8261,23.000229,114,491,605
66,2011-03-07,Spring,2011,Mar,Not Holiday,Mon,Yes,Clear,4.3017330000000005,0.238461,55.1304,22.870584,244,1628,1872
67,2011-03-08,Spring,2011,Mar,Not Holiday,Tue,Yes,Clear,5.747499999999999,0.3024,42.0833,8.083549999999999,316,1817,2133
68,2011-03-09,Spring,2011,Mar,Not Holiday,Wed,Yes,Misty,5.904151000000001,0.286608,77.5417,14.750050000000002,191,1700,1891
69,2011-03-10,Spring,2011,Mar,Not Holiday,Thu,Yes,Light Rain,10.287277,0.385668,0.0,17.545759,46,577,623
70,2011-03-11,Spring,2011,Mar,Not Holiday,Fri,Yes,Misty,6.876534000000001,0.305,64.95649999999999,15.60899,247,1730,1977
71,2011-03-12,Spring,2011,Mar,Not Holiday,Sat,No,Clear,7.470848999999999,0.32575,59.458299999999994,14.791924999999999,724,1408,2132
72,2011-03-13,Spring,2011,Mar,Not Holiday,Sun,No,Clear,10.064356,0.380091,52.73910000000001,18.130468,982,1435,2417
73,2011-03-14,Spring,2011,Mar,Not Holiday,Mon,Yes,Clear,7.285198999999999,0.332,49.695699999999995,9.174042,359,1687,2046
74,2011-03-15,Spring,2011,Mar,Not Holiday,Tue,Yes,Misty,6.917376999999998,0.318178,65.5652,12.348703,289,1767,2056
75,2011-03-16,Spring,2011,Mar,Not Holiday,Wed,Yes,Misty,9.165199000000001,0.36693,77.65220000000001,13.608839,321,1871,2192
76,2011-03-17,Spring,2011,Mar,Not Holiday,Thu,Yes,Clear,11.504999999999999,0.410333,60.291700000000006,14.041792999999998,424,2320,2744
77,2011-03-18,Spring,2011,Mar,Not Holiday,Fri,Yes,Clear,17.380000000000003,0.527009,52.5217,15.478139,884,2355,3239
78,2011-03-19,Spring,2011,Mar,Not Holiday,Sat,No,Clear,14.2075,0.466525,37.9167,24.667189,1424,1693,3117
79,2011-03-20,Spring,2011,Mar,Not Holiday,Sun,No,Clear,7.627500000000001,0.32575,47.375,13.917307,1047,1424,2471
80,2011-03-21,Summer,2011,Mar,Not Holiday,Mon,Yes,Misty,12.230445,0.409735,73.73910000000001,19.348461,401,1676,2077
81,2011-03-22,Summer,2011,Mar,Not Holiday,Tue,Yes,Clear,12.758348999999999,0.440642,62.4583,15.125250000000001,460,2243,2703
82,2011-03-23,Summer,2011,Mar,Not Holiday,Wed,Yes,Misty,8.306979000000002,0.337939,83.9565,15.695487,203,1918,2121
83,2011-03-24,Summer,2011,Mar,Not Holiday,Thu,Yes,Misty,5.395,0.270833,80.58330000000001,16.333729,166,1699,1865
84,2011-03-25,Summer,2011,Mar,Not Holiday,Fri,Yes,Clear,4.415849,0.256312,49.5,15.458575000000002,300,1910,2210
85,2011-03-26,Summer,2011,Mar,Not Holiday,Sat,No,Clear,4.494150999999999,0.257571,39.4167,14.041257,981,1515,2496
86,2011-03-27,Summer,2011,Mar,Not Holiday,Sun,No,Misty,3.893021000000001,0.250339,49.3913,12.348099999999999,472,1221,1693
87,2011-03-28,Summer,2011,Mar,Not Holiday,Mon,Yes,Clear,4.424356000000001,0.257574,30.2174,14.217668,222,1806,2028
88,2011-03-29,Summer,2011,Mar,Not Holiday,Tue,Yes,Clear,6.217499999999999,0.292908,31.4167,15.208732,317,2108,2425
89,2011-03-30,Summer,2011,Mar,Not Holiday,Wed,Yes,Misty,6.1,0.29735,64.6667,11.583495999999998,168,1368,1536
90,2011-03-31,Summer,2011,Mar,Not Holiday,Thu,Yes,Light Rain,4.611651,0.257575,91.8333,14.582282000000001,179,1506,1685
91,2011-04-01,Summer,2011,April,Not Holiday,Fri,Yes,Misty,6.1,0.283454,68.625,17.333436,307,1920,2227
92,2011-04-02,Summer,2011,April,Not Holiday,Sat,No,Misty,6.805,0.315637,65.375,13.208782,898,1354,2252
93,2011-04-03,Summer,2011,April,Not Holiday,Sun,No,Clear,9.781651,0.378767,48.0,12.208271000000002,1651,1598,3249
94,2011-04-04,Summer,2011,April,Not Holiday,Mon,Yes,Clear,18.946651,0.542929,42.625,25.833257,734,2381,3115
95,2011-04-05,Summer,2011,April,Not Holiday,Tue,Yes,Misty,11.465848999999999,0.39835,64.2083,26.000488999999998,167,1628,1795
96,2011-04-06,Summer,2011,April,Not Holiday,Wed,Yes,Clear,10.369150999999999,0.387608,47.0833,17.625221,413,2395,2808
97,2011-04-07,Summer,2011,April,Not Holiday,Thu,Yes,Clear,12.5625,0.433696,60.291700000000006,10.874904,571,2570,3141
98,2011-04-08,Summer,2011,April,Not Holiday,Fri,Yes,Misty,7.784151,0.324479,83.625,15.208464,172,1299,1471
99,2011-04-09,Summer,2011,April,Not Holiday,Sat,No,Misty,8.0975,0.341529,87.75,8.916561,879,1576,2455
100,2011-04-10,Summer,2011,April,Not Holiday,Sun,No,Misty,12.053349,0.426737,85.75,9.833389,1188,1707,2895
101,2011-04-11,Summer,2011,April,Not Holiday,Mon,Yes,Misty,19.995644,0.565217,71.6956,21.739758,855,2493,3348
102,2011-04-12,Summer,2011,April,Not Holiday,Tue,Yes,Misty,15.617499999999996,0.493054,73.9167,18.416892999999998,257,1777,2034
103,2011-04-13,Summer,2011,April,Not Holiday,Wed,Yes,Misty,11.3875,0.417283,81.91669999999999,16.791338999999997,209,1953,2162
104,2011-04-14,Summer,2011,April,Not Holiday,Thu,Yes,Clear,13.9725,0.462742,54.041700000000006,7.4169,529,2738,3267
105,2011-04-15,Summer,2011,April,Holiday,Fri,No,Clear,12.993348999999998,0.441913,67.125,15.167124999999999,642,2484,3126
106,2011-04-16,Summer,2011,April,Not Holiday,Sat,No,Light Rain,12.249151000000001,0.425492,88.83330000000001,22.834136,121,674,795
107,2011-04-17,Summer,2011,April,Not Holiday,Sun,No,Clear,13.463349000000001,0.445696,47.9583,20.334232,1558,2186,3744
108,2011-04-18,Summer,2011,April,Not Holiday,Mon,Yes,Clear,16.0875,0.503146,54.25,10.958988999999999,669,2760,3429
109,2011-04-19,Summer,2011,April,Not Holiday,Tue,Yes,Misty,15.774151,0.489258,66.5833,10.584057,409,2795,3204
110,2011-04-20,Summer,2011,April,Not Holiday,Wed,Yes,Clear,19.965,0.564392,61.4167,16.208975,613,3331,3944
111,2011-04-21,Summer,2011,April,Not Holiday,Thu,Yes,Clear,13.580849,0.453892,40.708299999999994,21.792286,745,3444,4189
112,2011-04-22,Summer,2011,April,Not Holiday,Fri,Yes,Misty,7.823349,0.321954,72.9583,14.707906999999999,177,1506,1683
113,2011-04-23,Summer,2011,April,Not Holiday,Sat,No,Misty,13.620000000000001,0.450121,88.79169999999999,15.458575000000002,1462,2574,4036
114,2011-04-24,Summer,2011,April,Not Holiday,Sun,No,Misty,19.338349,0.551763,81.08330000000001,12.875725000000001,1710,2481,4191
115,2011-04-25,Summer,2011,April,Not Holiday,Mon,Yes,Clear,20.513348999999998,0.5745,77.6667,12.417311,773,3300,4073
116,2011-04-26,Summer,2011,April,Not Holiday,Tue,Yes,Clear,21.688349,0.594083,72.9167,21.875500000000002,678,3722,4400
117,2011-04-27,Summer,2011,April,Not Holiday,Wed,Yes,Misty,21.14,0.575142,83.54169999999999,20.917399999999997,547,3325,3872
118,2011-04-28,Summer,2011,April,Not Holiday,Thu,Yes,Misty,21.0225,0.578929,70.08330000000001,21.500836000000003,569,3489,4058
119,2011-04-29,Summer,2011,April,Not Holiday,Fri,Yes,Clear,15.969999999999999,0.497463,45.7083,16.084221,878,3717,4595
120,2011-04-30,Summer,2011,April,Not Holiday,Sat,No,Clear,14.2075,0.464021,50.3333,15.750025,1965,3347,5312
121,2011-05-01,Summer,2011,May,Not Holiday,Sun,No,Misty,13.228348999999998,0.448204,76.2083,7.125718,1138,2213,3351
122,2011-05-02,Summer,2011,May,Not Holiday,Mon,Yes,Misty,17.810848999999997,0.532833,73.0,12.291418,847,3554,4401
123,2011-05-03,Summer,2011,May,Not Holiday,Tue,Yes,Misty,20.983348999999997,0.582079,69.7083,22.958689,603,3848,4451
124,2011-05-04,Summer,2011,May,Not Holiday,Wed,Yes,Misty,11.465848999999999,0.40465,73.70830000000001,22.042732,255,2378,2633
125,2011-05-05,Summer,2011,May,Not Holiday,Thu,Yes,Clear,13.580849,0.441917,44.4167,19.791263999999998,614,3819,4433
126,2011-05-06,Summer,2011,May,Not Holiday,Fri,Yes,Clear,14.520849000000002,0.474117,59.0,15.292482,894,3714,4608
127,2011-05-07,Summer,2011,May,Not Holiday,Sat,No,Clear,16.44,0.512621,54.125,10.750150000000001,1612,3102,4714
128,2011-05-08,Summer,2011,May,Not Holiday,Sun,No,Clear,16.831651,0.518933,63.1667,5.0007125,1401,2932,4333
129,2011-05-09,Summer,2011,May,Not Holiday,Mon,Yes,Clear,17.0275,0.525246,58.875,11.792,664,3698,4362
130,2011-05-10,Summer,2011,May,Not Holiday,Tue,Yes,Clear,17.0275,0.522721,48.9167,7.749956999999999,694,4109,4803
131,2011-05-11,Summer,2011,May,Not Holiday,Wed,Yes,Clear,17.4975,0.5284,63.29169999999999,8.083014,550,3632,4182
132,2011-05-12,Summer,2011,May,Not Holiday,Thu,Yes,Clear,17.145000000000003,0.523363,74.75,12.707689,695,4169,4864
133,2011-05-13,Summer,2011,May,Not Holiday,Fri,Yes,Misty,16.0875,0.4943,86.33330000000001,12.041575,692,3413,4105
134,2011-05-14,Summer,2011,May,Not Holiday,Sat,No,Misty,16.479150999999998,0.500629,92.25,9.041649999999999,902,2507,3409
135,2011-05-15,Summer,2011,May,Not Holiday,Sun,No,Misty,18.4375,0.536,86.70830000000001,10.249593,1582,2971,4553
136,2011-05-16,Summer,2011,May,Not Holiday,Mon,Yes,Clear,19.142500000000002,0.550512,78.79169999999999,8.500357000000001,773,3185,3958
137,2011-05-17,Summer,2011,May,Not Holiday,Tue,Yes,Misty,18.398349,0.538529,83.7917,18.582718,678,3445,4123
138,2011-05-18,Summer,2011,May,Not Holiday,Wed,Yes,Misty,17.85,0.527158,87.0,13.499964,536,3319,3855
139,2011-05-19,Summer,2011,May,Not Holiday,Thu,Yes,Misty,16.949151,0.510742,82.9583,7.250271000000001,735,3840,4575
140,2011-05-20,Summer,2011,May,Not Holiday,Fri,Yes,Clear,17.223349,0.529042,71.9583,8.375871,909,4008,4917
141,2011-05-21,Summer,2011,May,Not Holiday,Sat,No,Clear,20.317500000000003,0.571975,62.6667,8.083549999999999,2258,3547,5805
142,2011-05-22,Summer,2011,May,Not Holiday,Sun,No,Clear,20.395849000000002,0.5745,74.9583,9.916536,1576,3084,4660
143,2011-05-23,Summer,2011,May,Not Holiday,Mon,Yes,Misty,21.688349,0.590296,81.0,15.667413999999999,836,3438,4274
144,2011-05-24,Summer,2011,May,Not Holiday,Tue,Yes,Misty,23.020000000000003,0.604813,74.0833,13.875164,659,3833,4492
145,2011-05-25,Summer,2011,May,Not Holiday,Wed,Yes,Clear,23.059151,0.615542,69.625,10.333611000000001,740,4238,4978
146,2011-05-26,Summer,2011,May,Not Holiday,Thu,Yes,Clear,25.291651,0.654688,67.75,13.376014,758,3919,4677
147,2011-05-27,Summer,2011,May,Not Holiday,Fri,Yes,Clear,24.038349000000004,0.637008,65.375,16.125493,871,3808,4679
148,2011-05-28,Summer,2011,May,Not Holiday,Sat,No,Clear,22.824151,0.612379,72.9583,15.416164,2001,2757,4758
149,2011-05-29,Summer,2011,May,Not Holiday,Sun,No,Clear,23.3725,0.61555,81.875,14.333846,2355,2433,4788
150,2011-05-30,Summer,2011,May,Holiday,Mon,No,Clear,26.466651,0.671092,68.5,8.792075,1549,2549,4098
151,2011-05-31,Summer,2011,May,Not Holiday,Tue,Yes,Clear,28.425000000000004,0.725383,63.6667,7.459042999999999,673,3309,3982
152,2011-06-01,Summer,2011,June,Not Holiday,Wed,Yes,Misty,27.915849,0.720967,67.7083,13.875164,513,3461,3974
153,2011-06-02,Summer,2011,June,Not Holiday,Thu,Yes,Clear,25.604999999999997,0.643942,30.5,19.583229000000003,736,4232,4968
154,2011-06-03,Summer,2011,June,Not Holiday,Fri,Yes,Clear,21.14,0.587133,35.4167,16.959107,898,4414,5312
155,2011-06-04,Summer,2011,June,Not Holiday,Sat,No,Clear,21.845,0.594696,45.625,8.250514,1869,3473,5342
156,2011-06-05,Summer,2011,June,Not Holiday,Sun,No,Misty,22.471651,0.616804,65.25,9.292364000000001,1685,3221,4906
157,2011-06-06,Summer,2011,June,Not Holiday,Mon,Yes,Clear,23.881650999999998,0.621858,60.0,8.167032,673,3875,4548
158,2011-06-07,Summer,2011,June,Not Holiday,Tue,Yes,Clear,25.252499999999998,0.65595,59.791700000000006,12.583136,763,4070,4833
159,2011-06-08,Summer,2011,June,Not Holiday,Wed,Yes,Clear,28.464151,0.727279,62.20830000000001,9.166739,676,3725,4401
160,2011-06-09,Summer,2011,June,Not Holiday,Thu,Yes,Misty,29.991650999999997,0.757579,56.833299999999994,10.042161,563,3352,3915
161,2011-06-10,Summer,2011,June,Not Holiday,Fri,Yes,Clear,27.485,0.703292,60.5,9.417118,815,3771,4586
162,2011-06-11,Summer,2011,June,Not Holiday,Sat,No,Clear,26.074999999999996,0.678038,65.45830000000001,10.374949999999998,1729,3237,4966
163,2011-06-12,Summer,2011,June,Not Holiday,Sun,No,Clear,24.5475,0.643325,74.7917,10.958988999999999,1467,2993,4460
164,2011-06-13,Summer,2011,June,Not Holiday,Mon,Yes,Clear,21.845,0.601654,49.4583,20.45845,863,4157,5020
165,2011-06-14,Summer,2011,June,Not Holiday,Tue,Yes,Clear,20.395849000000002,0.591546,50.708299999999994,18.041961,727,4164,4891
166,2011-06-15,Summer,2011,June,Not Holiday,Wed,Yes,Clear,21.453349,0.587754,47.1667,11.250104,769,4411,5180
167,2011-06-16,Summer,2011,June,Not Holiday,Thu,Yes,Misty,21.531651,0.595346,68.8333,13.833556999999999,545,3222,3767
168,2011-06-17,Summer,2011,June,Not Holiday,Fri,Yes,Clear,22.510849000000004,0.600383,73.5833,9.582942999999998,863,3981,4844
169,2011-06-18,Summer,2011,June,Not Holiday,Sat,No,Clear,24.743349000000002,0.643954,67.0417,8.000336,1807,3312,5119
170,2011-06-19,Summer,2011,June,Not Holiday,Sun,No,Misty,24.860849,0.645846,66.6667,6.834,1639,3105,4744
171,2011-06-20,Summer,2011,June,Not Holiday,Mon,Yes,Misty,21.845,0.595346,74.625,10.416825,699,3311,4010
172,2011-06-21,Fall,2011,June,Not Holiday,Tue,Yes,Misty,23.999151,0.637646,77.0417,11.458675000000001,774,4061,4835
173,2011-06-22,Fall,2011,June,Not Holiday,Wed,Yes,Clear,26.466651,0.693829,70.75,11.541554,661,3846,4507
174,2011-06-23,Fall,2011,June,Not Holiday,Thu,Yes,Misty,26.231651,0.693833,70.3333,15.999868,746,4044,4790
175,2011-06-24,Fall,2011,June,Not Holiday,Fri,Yes,Clear,26.035849,0.656583,57.3333,14.875675,969,4022,4991
176,2011-06-25,Fall,2011,June,Not Holiday,Sat,No,Clear,24.665,0.643313,48.3333,14.041257,1782,3420,5202
177,2011-06-26,Fall,2011,June,Not Holiday,Sun,No,Clear,23.96,0.637629,51.3333,6.3337311,1920,3385,5305
178,2011-06-27,Fall,2011,June,Not Holiday,Mon,Yes,Misty,24.0775,0.637004,65.8333,7.2083960000000005,854,3854,4708
179,2011-06-28,Fall,2011,June,Not Holiday,Tue,Yes,Clear,26.975849000000004,0.692558,63.416700000000006,9.666960999999999,732,3916,4648
180,2011-06-29,Fall,2011,June,Not Holiday,Wed,Yes,Clear,26.231651,0.654688,49.7917,17.542007,848,4377,5225
181,2011-06-30,Fall,2011,June,Not Holiday,Thu,Yes,Clear,24.743349000000002,0.637008,43.416700000000006,12.415904000000001,1027,4488,5515
182,2011-07-01,Fall,2011,July,Not Holiday,Fri,Yes,Clear,25.957500000000003,0.652162,39.625,6.874736,1246,4116,5362
183,2011-07-02,Fall,2011,July,Not Holiday,Sat,No,Clear,26.701651,0.667308,44.4583,7.709154,2204,2915,5119
184,2011-07-03,Fall,2011,July,Not Holiday,Sun,No,Misty,25.683349,0.668575,68.25,15.333486,2282,2367,4649
185,2011-07-04,Fall,2011,July,Holiday,Mon,No,Misty,26.153349,0.665417,63.7917,5.4591064000000005,3065,2978,6043
186,2011-07-05,Fall,2011,July,Not Holiday,Tue,Yes,Clear,27.093348999999996,0.696338,59.0417,8.459286,1031,3634,4665
187,2011-07-06,Fall,2011,July,Not Holiday,Wed,Yes,Clear,25.839999999999996,0.685633,74.33330000000001,10.042161,784,3845,4629
188,2011-07-07,Fall,2011,July,Not Holiday,Thu,Yes,Clear,27.25,0.686871,65.125,10.666400000000001,754,3838,4592
189,2011-07-08,Fall,2011,July,Not Holiday,Fri,Yes,Misty,25.330849,0.670483,75.79169999999999,15.083643,692,3348,4040
190,2011-07-09,Fall,2011,July,Not Holiday,Sat,No,Clear,26.466651,0.664158,60.9167,11.250104,1988,3348,5336
191,2011-07-10,Fall,2011,July,Not Holiday,Sun,No,Clear,27.1325,0.690025,57.8333,12.292557,1743,3138,4881
192,2011-07-11,Fall,2011,July,Not Holiday,Mon,Yes,Clear,27.8375,0.729804,63.5833,18.916579,723,3363,4086
193,2011-07-12,Fall,2011,July,Not Holiday,Tue,Yes,Clear,29.325848999999998,0.739275,55.9167,13.417017999999999,662,3596,4258
194,2011-07-13,Fall,2011,July,Not Holiday,Wed,Yes,Clear,27.093348999999996,0.689404,63.1667,9.790911000000001,748,3594,4342
195,2011-07-14,Fall,2011,July,Not Holiday,Thu,Yes,Clear,23.999151,0.635104,47.625,16.124689,888,4196,5084
196,2011-07-15,Fall,2011,July,Not Holiday,Fri,Yes,Clear,23.176650999999996,0.624371,59.12500000000001,12.249811,1318,4220,5538
197,2011-07-16,Fall,2011,July,Not Holiday,Sat,No,Clear,24.273349000000003,0.638263,58.5,13.958914,2418,3505,5923
198,2011-07-17,Fall,2011,July,Not Holiday,Sun,No,Clear,25.800849,0.669833,60.4167,16.417211,2006,3296,5302
199,2011-07-18,Fall,2011,July,Not Holiday,Mon,Yes,Clear,27.093348999999996,0.703925,65.125,14.458867999999999,841,3617,4458
200,2011-07-19,Fall,2011,July,Not Holiday,Tue,Yes,Clear,28.503349,0.747479,65.0417,8.7502,752,3789,4541
201,2011-07-20,Fall,2011,July,Not Holiday,Wed,Yes,Clear,28.111651000000002,0.74685,70.70830000000001,7.625739,644,3688,4332
202,2011-07-21,Fall,2011,July,Not Holiday,Thu,Yes,Misty,30.305,0.826371,69.125,14.875407,632,3152,3784
203,2011-07-22,Fall,2011,July,Not Holiday,Fri,Yes,Clear,31.871651,0.840896,58.0417,8.9177,562,2825,3387
